species,year,season,prey.species,prey.sex,prey.age,prey.mass,prey.size,edible.biomass
leopard,2015,wet,Bushbuck,male,subadult,35.0,medium,28.0
leopard,2014,wet,Bushbuck,male,adult,50.0,medium,40.0
leopard,2015,wet,Bushbuck,male,adult,50.0,medium,40.0
leopard,2013,wet,Bushbuck,male,subadult,35.0,medium,28.0
leopard,2014,wet,Bushbuck,male,subadult,35.0,medium,28.0
leopard,2014,wet,Bushbuck,male,subadult,35.0,medium,28.0
leopard,2015,dry,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2013,dry,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2015,dry,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2015,dry,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2013,dry,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2015,dry,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2013,dry,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2015,dry,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2013,dry,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2014,dry,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2015,dry,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2013,dry,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2015,dry,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2013,dry,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2015,dry,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2013,dry,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2015,dry,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2015,dry,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2014,dry,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2015,dry,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2013,dry,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2015,dry,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2014,dry,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2013,dry,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2015,dry,Bushbuck,unknown,juvenile,13.1,small,11.8
leopard,2015,dry,Bushbuck,unknown,juvenile,13.1,small,11.8
