"species","year","prey.species","prey.sex","prey.age","prey.mass","prey.size","edible.biomass","nonedible.biomass","prey.taste"
"leopard",2015,"Bushbuck","male","adult",50,"medium",40,10,"neutral"
"leopard",2015,"Bushbuck","male","subadult",35,"medium",28,7,"good"
"leopard",2013,"Bushbuck","male","adult",50,"medium",40,10,"neutral"
"leopard",2015,"Bushbuck","male","adult",50,"medium",40,10,"neutral"
"leopard",2015,"Bushbuck","male","adult",50,"medium",40,10,"neutral"
"leopard",2015,"Bushbuck","male","adult",50,"medium",40,10,"neutral"
"leopard",2014,"Bushbuck","male","subadult",35,"medium",28,7,"good"
"leopard",2013,"Bushbuck","male","adult",50,"medium",40,10,"neutral"
"leopard",2014,"Bushbuck","male","adult",50,"medium",40,10,"neutral"
"leopard",2015,"Bushbuck","male","subadult",35,"medium",28,7,"good"
"leopard",2013,"Bushbuck","male","adult",50,"medium",40,10,"neutral"
"leopard",2014,"Bushbuck","male","subadult",35,"medium",28,7,"good"
"leopard",2015,"Bushbuck","male","subadult",35,"medium",28,7,"good"
"leopard",2015,"Bushbuck","male","subadult",35,"medium",28,7,"good"
"leopard",2015,"Bushbuck","male","subadult",35,"medium",28,7,"good"
"leopard",2015,"Bushbuck","male","subadult",35,"medium",28,7,"good"
"leopard",2015,"Bushbuck","male","subadult",35,"medium",28,7,"good"
"leopard",2015,"Bushbuck","male","adult",50,"medium",40,10,"neutral"
"leopard",2015,"Bushbuck","male","subadult",35,"medium",28,7,"good"
"leopard",2014,"Bushbuck","male","adult",50,"medium",40,10,"neutral"
"leopard",2015,"Bushbuck","male","adult",50,"medium",40,10,"neutral"
"leopard",2015,"Bushbuck","male","subadult",35,"medium",28,7,"good"
"leopard",2015,"Bushbuck","male","adult",50,"medium",40,10,"neutral"
"leopard",2015,"Bushbuck","male","adult",50,"medium",40,10,"neutral"
"leopard",2013,"Bushbuck","male","adult",50,"medium",40,10,"neutral"
"leopard",2013,"Bushbuck","male","adult",50,"medium",40,10,"neutral"
"leopard",2015,"Bushbuck","male","subadult",35,"medium",28,7,"good"
"leopard",2015,"Bushbuck","male","adult",50,"medium",40,10,"neutral"
"leopard",2015,"Bushbuck","male","adult",50,"medium",40,10,"neutral"
"leopard",2013,"Bushbuck","male","adult",50,"medium",40,10,"neutral"
"leopard",2014,"Bushbuck","male","adult",50,"medium",40,10,"neutral"
"leopard",2014,"Bushbuck","male","subadult",35,"medium",28,7,"good"
"leopard",2014,"Bushbuck","male","adult",50,"medium",40,10,"neutral"
"leopard",2013,"Bushbuck","male","adult",50,"medium",40,10,"neutral"
"leopard",2013,"Bushbuck","male","adult",50,"medium",40,10,"neutral"
"leopard",2015,"Bushbuck","male","subadult",35,"medium",28,7,"good"
"leopard",2015,"Bushbuck","male","subadult",35,"medium",28,7,"good"
"leopard",2013,"Bushbuck","male","adult",50,"medium",40,10,"neutral"
"leopard",2013,"Bushbuck","male","adult",50,"medium",40,10,"neutral"
"leopard",2015,"Bushbuck","male","adult",50,"medium",40,10,"neutral"
"leopard",2015,"Bushbuck","male","subadult",35,"medium",28,7,"good"
"leopard",2013,"Bushbuck","male","adult",50,"medium",40,10,"neutral"
"leopard",2015,"Bushbuck","male","subadult",35,"medium",28,7,"good"
"leopard",2013,"Bushbuck","male","adult",50,"medium",40,10,"neutral"
"leopard",2015,"Bushbuck","male","adult",50,"medium",40,10,"neutral"
"leopard",2015,"Bushbuck","male","subadult",35,"medium",28,7,"good"
"leopard",2014,"Bushbuck","male","adult",50,"medium",40,10,"neutral"
"leopard",2015,"Bushbuck","male","adult",50,"medium",40,10,"neutral"
"leopard",2013,"Bushbuck","male","subadult",35,"medium",28,7,"good"
"leopard",2014,"Bushbuck","male","subadult",35,"medium",28,7,"good"
"leopard",2014,"Bushbuck","male","subadult",35,"medium",28,7,"good"
"leopard",2015,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2013,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2015,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2015,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2013,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2015,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2013,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
"leopard",2015,"Bushbuck",NA,"juvenile",13.1,"small",11.8,1.3,"delicious"
